Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
0,0,0,0,1,2,22340,25134,57,2,0,0
4,0,0,0,0,0,800,2405,57,1,1,1
1,0,0,0,0,0,1200,2155,57,1,3,1
0,5,48,0,0,0,0,4462,57,2,1,1
0,3,104,0,0,0,0,2239,57,1,0,0
1,0,0,0,0,0,4500,51571,57,1,1,1
4,0,0,0,0,0,500,40655,57,1,0,0
1,0,0,0,4,4,12020,44000,57,1,1,1
1,0,0,0,0,0,2600,4698,57,1,1,1
1,0,0,0,0,0,9400,13131,57,1,1,1
0,12,340,0,1,1,300,1667,57,2,1,1
1,0,0,0,1,0,400,12499,57,1,0,0
0,0,0,0,0,0,1700,1988,57,1,1,1
1,0,0,0,0,0,6700,3408,57,1,1,1
1,0,0,0,0,0,6700,18674,57,1,1,1
2,0,0,0,1,1,2250,14350,57,1,0,0
0,0,0,0,0,0,0,0,57,1,0,0
1,0,0,0,0,0,0,0,57,1,0,0
0,2,21,0,0,0,0,12648,57,1,1,1
0,0,0,0,0,0,0,133056,57,1,2,1
1,0,0,0,1,0,17000,20272,58,1,1,1
1,0,0,0,2,1,2600,9799,58,1,1,1
1,0,0,0,0,0,1500,17717,58,1,1,1
1,4,36,0,1,2,11210,3225,58,1,1,1
3,0,0,0,0,0,0,5525,58,1,1,1
1,0,0,0,1,0,14350,95153,58,1,1,1
0,37,937,0,0,0,2380,7881,58,1,1,1
1,0,0,0,0,0,18740,21256,58,1,1,1
7,0,0,0,0,0,3000,16457,58,1,1,1
1,1,8,0,0,0,2010,1761,58,2,1,1
1,0,0,0,0,0,47440,11768,58,1,1,1
1,0,0,0,0,0,70720,47312,58,2,0,0
0,0,0,0,0,0,0,35793,59,1,3,1
0,3,45,0,0,0,19890,11038,59,1,0,0
2,0,0,0,1,1,19620,7469,59,1,0,0
1,0,0,0,1,1,17520,7269,59,1,1,1
1,7,96,0,0,0,0,6079,59,1,0,0
2,4,52,0,1,1,400,7656,59,1,1,1
0,0,0,0,0,0,400,1747,59,1,0,0
1,0,0,0,0,0,3700,6139,59,1,1,1
0,0,0,0,0,0,24550,11216,59,2,0,0
0,0,0,0,0,0,22550,10289,59,2,0,0
3,1,13,0,0,1,13600,25989,59,1,1,1
1,4,720,0,0,0,0,0,59,1,1,1
1,1,7,0,0,0,4600,6922,59,1,1,1
0,0,0,0,0,0,88900,16799,59,1,1,1
1,0,0,0,0,0,3420,10968,59,1,1,1
1,0,0,0,0,0,2800,11512,59,1,1,1
1,0,0,0,0,0,0,10540,59,2,0,0
0,0,0,0,0,0,0,0,59,1,0,0
0,0,0,0,0,0,0,0,59,1,0,0
0,0,0,0,0,0,0,0,59,1,0,0
1,8,192,0,1,1,3600,6593,59,1,1,1
0,7,749,9,0,0,0,13,59,1,1,1
0,0,0,0,0,0,21680,9137,59,2,2,1
1,0,0,0,0,0,23580,9904,59,2,1,1
0,0,0,0,1,0,54600,16624,59,1,1,1
0,0,0,0,1,0,58130,16545,59,1,1,1
0,0,0,0,1,0,66820,12686,59,1,2,1
0,1,11,0,0,0,0,0,59,2,0,0
0,1,11,0,0,0,0,0,59,2,0,0
1,0,0,0,1,1,300,19601,59,1,1,1
1,0,0,0,1,1,300,20247,59,1,1,1
2,2,19,0,1,1,1300,15604,59,1,1,1
2,0,0,0,1,1,18170,29523,59,1,1,1
1,0,0,0,1,1,27750,21035,59,1,1,1
0,8,188,0,0,0,0,6805,59,1,1,1
0,6,214,0,0,0,0,0,59,2,1,1
